,Full name,Symbol letter,Electron configuration,Atomic number,Atomic mass,van der Waals radius,Atomic radius,Covalent radius,Melting point,Boiling point,First electron affinity,First ionization energy,Electronegativity Pauling,Electronegativity Allred,Electronegativity Absolute,Chemical formula_Elemental atomic volume,Chemical formula_Elemental bulk modulus,Chemical formula_Elemental crystal structure (space group),Chemical formula_Elemental density,Chemical formula_Elemental electron density,Chemical formula_Elemental magnetic moment,Chemical formula_Elemental melting temperature,Chemical formula_Elemental polarizability,Chemical formula_Elemental work function,Chemical formula_Mendeleev number,Chemical formula_Number of d valence electrons,Chemical formula_Number of f valence electrons,Chemical formula_Number of p valence electrons,Chemical formula_Number of s valence electrons,Chemical formula_Number of unfilled f valence electrons,Chemical formula_Number of unfilled p valence electrons,Chemical formula_Number of unfilled s valence electrons,Chemical formula_Pauling electronegativity,Chemical formula_Radius of d orbitals,Chemical formula_Radius of p orbitals,Chemical formula_Radius of s orbitals,Chemical formula_Row in periodic table,Chemical formula_Total number of unfilled valence electrons,Chemical formula_Total number of valence electrons,Density
0,Hydrogen,H,1s1,1,1.00794,120,78,31,14.01,20.28,72.8,1312,2.2,2.2,7.18,32.02,90.79420289855072,194.0,0.0899,1.5,0.0,14.01,0.666793,5.2,92.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.2,0.4013396226415093,1.1406714285714288,0.9487857142857143,1.0,1.0,1.0,1.92035438565756
1,Helium,He,1s2,2,4.002602,122,128,28,0.95,4.216,0,2372.3,,5.5,12.3,19.08,90.79420289855072,225.0,0.1785,1.366575342465753,0.0,1296.4714851485148,0.2050522,4.034246575342466,98.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,1.1406714285714288,0.9487857142857143,1.0,0.0,2.0,2.5501497737426737
2,Lithium,Li,2s1,3,6.941,,152,128,453.69,1620,59.6,520.2,0.98,0.97,3.01,21.63,11.0,229.0,535.0,0.98,0.0,453.69,24.335,2.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.98,0.4013396226415093,0.625,0.985,2.0,1.0,1.0,0.9071342888410919
3,Beryllium,Be,2s2,4,9.012182,,113,96,1551,3243,-231,899.4,1.57,1.47,4.9,8.11,130.0,194.0,1848.0,1.67,0.0,1560.0,5.6,5.05,67.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.57,0.4013396226415093,0.44,0.64,2.0,0.0,2.0,3.254896535626326
4,Boron,B,2s22p1,5,10.811,208,83,84,2573,3931,26.7,800.6,2.04,2.01,4.29,7.75,320.0,166.0,2460.0,1.75,0.0,2348.0,3.03,5.3,72.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,2.04,0.4013396226415093,0.315,0.48,2.0,5.0,3.0,3.9468427263806505
5,Carbon,C,2s22p2,6,12.011,185,77,76,3820,5100,122,1086.2,2.55,2.5,6.27,5.67,33.0,194.0,2260.0,1.77,0.0,3823.0,1.67,6.24,77.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,2.55,0.4013396226415093,0.25,0.39,2.0,4.0,4.0,3.725574117997529
6,Nitrogen,N,2s22p3,7,14.00674,154,71,71,63.29,77.4,-134,1402.3,3.04,3.07,7.3,22.68,90.79420289855072,194.0,1.251,1.65,0.0,63.05,1.1,6.86,82.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,3.04,0.4013396226415093,0.21,0.33,2.0,3.0,5.0,3.066319463588298
7,Oxygen,O,2s22p4,8,15.9994,140,,66,54.8,90.188,141,1313.9,3.44,3.5,7.54,17.36,90.79420289855072,12.0,1.429,1.366575342465753,0.0,54.8,0.802,4.034246575342466,87.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,3.44,0.4013396226415093,0.18,0.285,2.0,2.0,6.0,3.1044229824126335
8,Fluorine,F,2s22p5,9,18.9984032,135,70.9,57,53.53,85.01,328,1681,3.98,4.1,10.41,16.42,90.79420289855072,15.0,1.696,1.366575342465753,0.0,53.5,0.557,4.034246575342466,93.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,3.98,0.4013396226415093,0.155,0.25,2.0,1.0,7.0,3.2075598765927595
9,Neon,Ne,2s22p6,10,20.1797,160,,58,24.48,27.1,0,2080.6,,4.84,10.6,23.09,90.79420289855072,225.0,0.9,1.366575342465753,0.0,24.56,0.39432,4.034246575342466,99.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,0.14,0.22,2.0,0.0,8.0,3.154479735090166
